lat,lon,aadt,year,road,func_class,layer,AADT_2024,AADT_2023,AADT_2022,AADT_2021,AADT_2020,AADT_2019,AADT_2018,AADT_2017,AADT_2016,redirected_traffic,New_AADT_2024,Traffic_Increase_Percent
41.71405549819895,-72.60143030651744,5590,2024,HOUSE ST,Local,Local Intersections,5590,5774,5314,6722,4613,6320,5318,5614,5754.0,0.0,5590.0,0.0
41.72340480157836,-72.60510104897907,14600,2024,GRISWOLD ST,Minor Arterial,Local Intersections,14600,11200,11200,11200,14500,14500,14500,13100,11824.0,0.0,14600.0,0.0
41.69905079323648,-72.5322026008159,104,2024,FRANCIS DR,Local,Local Intersections,104,80,228,752,448,494,406,422,428.0,0.0,104.0,0.0
41.71137502309082,-72.60630509804922,1987,2024,RANKIN RD,Local,Local Intersections,1987,1847,2115,2561,2418,3400,2905,3005,3049.0,0.0,1987.0,0.0
41.71414191957648,-72.60569251714412,4069,2024,WELLES ST,Local,Local Intersections,4069,3940,3403,4416,3253,4540,3719,3881,3965.0,0.0,4069.0,0.0
41.68300484395525,-72.59282250219243,32,2024,PEACH TREE RD,Local,Local Intersections,32,43,21,21,219,235,224,232,159.0,0.0,32.0,0.0
41.71280930448432,-72.60491429267535,10900,2024,NEW LONDON TPK,Minor Arterial,Local Intersections,10900,9300,9300,9300,12100,12100,12100,10800,8399.0,0.0,10900.0,0.0
41.66205796487027,-72.54206065272425,1183,2024,MOTT HILL RD,Local,Local Intersections,1183,1581,1359,1806,2299,2930,2411,2524,2572.0,0.0,1183.0,0.0
41.6989845247906,-72.53259021653658,41,2024,DELMAR RD,Local,Local Intersections,41,65,49,108,356,376,322,240,252.0,0.0,41.0,0.0
41.677685812180265,-72.58429726874726,3300,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,3300,3100,3100,3100,3100,3100,3100,3189,3553.0,0.0,3300.0,0.0
41.65235554169903,-72.56405960815107,996,2024,WOODLAND ST,Local,Local Intersections,996,690,1434,1594,1600,1887,1529,1591,1660.0,0.0,996.0,0.0
41.71137137533832,-72.6057379671518,1987,2024,RANKIN RD,Local,Local Intersections,1987,1847,2115,2561,2418,3400,2905,3005,3049.0,0.0,1987.0,0.0
41.68327142930114,-72.5928774684945,32,2024,PEACH TREE RD,Local,Local Intersections,32,43,21,21,219,235,224,232,159.0,0.0,32.0,0.0
41.7130717854636,-72.60495632125608,10900,2024,NEW LONDON TPK,Minor Arterial,Local Intersections,10900,9300,9300,9300,12100,12100,12100,10800,9240.0,0.0,10900.0,0.0
41.66203989862662,-72.54227069850083,766,2024,COUNTRY CLUB RD NO 2,Local,Local Intersections,766,603,658,832,1003,1271,1154,1232,1251.0,0.0,766.0,0.0
41.67912665370508,-72.56341700479979,3400,2024,CHESTNUT HILL RD,Major Collector,Local Intersections,3400,3350,3350,3350,3400,3400,3400,3350,3686.0,0.0,3400.0,0.0
41.67774104443914,-72.58551793052673,2169,2024,COLEMAN RD,Local,Local Intersections,2169,1693,2413,3968,1357,1588,1367,1302,1238.0,0.0,2169.0,0.0
41.673515323561006,-72.57802354063254,173,2024,BOULDER CIR,Local,Local Intersections,173,104,232,167,193,261,210,231,189.0,0.0,173.0,0.0
41.73102774673479,-72.59037358993285,2312,2024,CANDLEWOOD RD,Local,Local Intersections,2312,2155,2238,3166,3559,4603,3999,4135,4231.0,0.0,2312.0,0.0
41.72541604573177,-72.55214027098661,68,2024,BAYBERRY RD,Local,Local Intersections,68,79,174,129,466,510,344,336,278.0,0.0,68.0,0.0
41.65759542973934,-72.59037960195583,49,2024,DEAN DR,Local,Local Intersections,49,65,126,88,335,189,98,21,21.0,0.0,49.0,0.0
41.692672752370285,-72.48412427605092,70,2024,CROSS TR,Local,Local Intersections,70,69,40,28,347,299,306,303,236.0,0.0,70.0,0.0
41.71134102831539,-72.59174458908072,222,2024,BENTON LA,Local,Local Intersections,222,254,227,401,432,608,533,563,580.0,0.0,222.0,0.0
41.6944491701714,-72.487964089852,505,2024,ASH SWAMP RD,Local,Local Intersections,505,570,1290,1197,1136,1253,1097,1143,1147.0,0.0,505.0,0.0
41.72840702009236,-72.60030984904468,145,2024,BARRY LA,Local,Local Intersections,145,101,256,132,458,668,570,579,559.0,0.0,145.0,0.0
41.68458831031569,-72.56983072413114,355,2024,CIDER MILL RD,Local,Local Intersections,355,321,622,431,729,1134,888,900,845.0,0.0,355.0,0.0
41.69118531470361,-72.59821533486993,1145,2024,BUTTONBALL LA,Local,Local Intersections,1145,1123,2963,4065,2788,3714,2856,3012,3085.0,0.0,1145.0,0.0
41.695109757659935,-72.58728853042983,252,2024,CARRIAGE DR,Local,Local Intersections,252,253,520,397,869,1043,862,925,906.0,0.0,252.0,0.0
